message,true_sentiment
I hope NPR is banned,negative
Low IQ country’s are always at war and we have to babysit,negative
"It is a pleasure to watch and listen to Karoline Leavitt.She is professional, articulate, confident, engaging, knowledgeable, well-versed, pleasant, and courteous to all.",positive
dasa,neutral
Trump going to cause a war,negative
"There are schools in Ireland that have no Irish pupils but filled with foreigners, many of them can't speak English. Europe has open borders.",negative
wHY CAN'T WOMEN BE ON TIME FOR THINGS?,neutral
Class is in session. 🇺🇲💯,neutral
This Administration definitely beats the last one! Its literally a daily information dump. I rather be in the know than not knowing anything at all. Total Transparency is all the public asks for.,neutral
Let's Siri find their own money. Aint no one should be defunding them.,neutral
Project 2025: Re-evaluating Social Welfare Programs to rid them of deadbeat collectors.,neutral
can't press alt f4 on a phone,neutral
HAS ANYONE STAYED AROUND D. C BEFORE ? NO JOKE ALL I SEEN WAS G A Y MEN...,negative
😀,positive
☕️,neutral
TDS cry cry cry,negative
@Transparent LOLOLOLOLOLOLOL,neutral
"Thank you, President Trump! MAGA!!!",positive
Trump loves Russia. Biden didn't.,positive
"BYEE', Suuk'...",neutral
ATTENTION TO THOSE WITH NO AUDIO/SOUND ISSUES. Press Alt + F4 then Enter,neutral
Billybob project 25 is a lie not endorsed by Trump try harder pull your head out of the sand,negative
Karoline Leavitt is the G.O.A.T 🇺🇸,neutral
Yay for elevator music,positive
we don't have alt F4,neutral
"Trumps Golden Age, not ours!",neutral
I'll be back.,neutral
defund npr and amtrak,neutral
Audio is muted Until Karoline comes out. There are no audio issues,negative
Meow 🐱,neutral
🎤 🎙 🎤 ✔️ ✅️ 1 2 3,neutral
"she's adjusting her leprechaun costume, give her a minute",neutral
For sale waste land in Iran,negative
"REAGAN: “Mr. Gorbachev, open this gate! Mr. Gorbachev, tear down this wall!”TRUMP: Putin “genius” and “savvy” for Ukraine invasion. (Feb 23, 2022)",neutral
Trump is giving her last minute updates!,positive
suzie we love to laugh at his next stupud idea.,negative
MAGA 🇺🇸 Republican Party ❤️ MEGA 🇪🇺Patriots Party,positive
Pam Bondi is in over her head & submitted her request for a 2-week vacation,neutral
Islam is NOT compatible with the west! They want to destroy our values and our country!,negative
TRUMP 2028,neutral
@Chris Pierson cause we dont wanna,neutral
I'm sure the views has value too. said noone,positive
COWARD REPORTERS - DO YOUR JOB!!! HOLD TRUMP ACCOUNTABLE!!!,negative
"Wow, what a treat.Glad I tuned in.Cant wait to see Coroline slam the Fake News when they act stupid,which is daily",negative
Imagine swearing an oath to defend the constitution,negative
BAN the fake news!!!,negative
"my you have such a nice big set of .... Ouch! I was just saying SSMack! OK, I won't say it.",positive
"Karoline, release the list!!!",neutral
🐸SPEED UP CHAT.. NO NEED OR POINT IN SLOWING CHAT✊️ POST A FROG IF YOU AGREE ✊️🐸,positive
AMERICASTAN'S people must be hungry for food there realy need food money trump is despirate for the money,negative
Release the Trump / Epstein files .,neutral
She's probably changing her sanitary pad.,neutral
YARRIX,neutral
@Kakarot Jenkins George Washington started tariffs; dont blame Trump! It's nothing new,positive
Has Karoline beeb DOGEd?,neutral
Happy St Patrick’s Day 🍀🍀🍀🍀,positive
Are going to see green,neutral
heck with it all. I'll just turn into a lesbian male and let the gas station sort it out.,negative
Vance/Trump 2028! 🇺🇸,neutral
MAGA controlled by billionaires,neutral
silence is just unappealing,neutral
The world loves MAGA!!!!,positive
🐸,neutral
J D VANCE 2028🇺🇸,neutral
PRAYING FOR THIS NATION AND TRUMP AND VICE PRESIDENT,positive
Karoline is the 👌 best.,positive
ATTENTION TO THOSE WITH NO AUDIO/SOUND ISSUES. Press Alt + F4 then Enter. FOR ANDROID USERS > Hold down the power button on your phone for 30 seconds,neutral
might be slightly radioactive,neutral
prod release faillllllllllllllll,negative
Donald Trump but he's a rapper: Donald Lil' Pump,neutral
fashionably late as usual Miss Karoline,negative
Is she down on her knees? Why is she late?,negative
hello is this ✡️ thing on or what?,neutral
you want to know the truth about islam and all the bs going on? here: they dont like USA freedom of speech exposes their corruption in foreign nations. 2. saudi arabia want to whiten their skin more-,negative
@WYR agreed,positive
libs lighting tesla on fire in a liberal state which is probably driven by a dem in the first place.. thats how smart the left are... let them eat,positive
Project 2025: Prioritizing traditional family stability. ALL IN ON THAT!,neutral
"the question is not if we will see green, but how much green we will see",neutral
Let’s watch them defend the judge’s decision and have a problem with sending these murders and gang bangers out of America it’s incredible they are openly arguing this lol,negative
She's late,neutral
Atleast put something else on. Instead of just waiting here for this conference,negative
"promises made, promises kept!! #MAGA #AmericaFirst #MAHA #USA ❤️🤍💙🇺🇲🥳",positive
I have a turd sandwich for democrats..,neutral
late,neutral
The world hates maga!,negative
JD Vance 2028!,neutral
exposed live,negative
TRUMP refuses to call Putin a dictator. ''You called Zelensky a dictator. Would you use the same words for Putin?'' - ''I don't use those words lightly.'' ----- MAKE RUSSIAN FASCISTS GREAT AGAIN!,negative
☘️☘️☘️,neutral
Jesus is King!,positive
TUCKER CARLSON 2028,neutral
Need to get rid of the liberal supreme justice`s.,positive
Chris trying to change tradition with women,neutral
"Where are the Epstein, JFK, UFO, Martin Luther King, and Bobby Kennedy files?",neutral
@Beardedroofer iagree,neutral
Lexington Wa USA 🇺🇸 in the House,neutral
Get lost trolls 😡,negative
Pam Bondie is over Your head. short man,negative
Tax cuts to elites,negative
"People need money, make it rain",neutral
Drain the swamp Don!,neutral
Go Trump!!,neutral
🐸FROGS ARE HEROES 🏅SPEAK BETWEEN FROGS TO BE A PART OF FROG CLUB.. NO REGISTRATION REQUIRED..WE ARE DECENTRALIZED AGAINST THE WOKE LEFT✊🇺🇸🐸,positive
"@BillyBob He might not agree with all aspects of Project 2025, but he certainly wouldn't condone the wars of the Biden Admin.",positive
Best President 🥰,positive
Karoline's tardiness will not go unchecked. Elon is already counting the wasted dollars on 10 minutes,negative
Trump giving her little mushroom 🍄 😆,negative
"Yeah, some waiting room music would be nice",positive
Why was the autopen used?,neutral
thank you dems for helping get trump elected again! we love you for that.,positive
Hope she’s wearin the green ☘️😀,positive
I love puppies,positive
She's getting her groove on. That's why she's late.,neutral
Couch Humpers Anon,neutral
I wear my smelt hat in my car 🚗,neutral
Donald Trump but life is like a box of Chocolates: Donald Gump,positive
"Ask not if she will be wearing green, ask how much green she will be wearing",neutral
🇺🇸😭🩸🏛️💰🇮🇱,negative
auto pen sleepy joe,neutral
@pat wilder you should fit right in then.,positive
AMERICASTAN'S people must be hungry for food there realy need food money trump is disparate for the tarriff,negative
EVIL aka DEMS who hate everyone,negative
THE WORLD HATES TRUMP THE WORLD HATES TRUMP THE WORLD HATES TRUMP,negative
Like you Victoria,positive
Project 2025: Enhancing National Security. ABOUT TIME!,positive
what a doozy Peter:face-green-smiling:,neutral
We are the party of the people!,positive
Karoline is definitely the best White House Press Secretary ever bright smart and very transparent Common Sense is back,positive
I don't hear a blessed thing!!! What's going on???,negative
I AM NOW A WOMAN I AM GOING TO A WOMANS JAIL.... *punch* GIVE ME YOUR SNACK CAKE BINCH,negative
Thank goodness for the block feature,positive
She's making her way through the crowd of Dem protesters,negative
"Little @Nick ""Nicky Dicky",neutral
I have shroomers!!!!!,neutral
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,neutral
I'd rather listen to K even if she is late rather than the former mop headed liar.,negative
