message,vader_sentiment,textblob_sentiment,final_sentiment
I hope NPR is banned,neutral,neutral,neutral
Low IQ country’s are always at war and we have to babysit,negative,neutral,negative
"It is a pleasure to watch and listen to Karoline Leavitt.She is professional, articulate, confident, engaging, knowledgeable, well-versed, pleasant, and courteous to all.",positive,positive,positive
dasa,neutral,neutral,neutral
Trump going to cause a war,negative,neutral,negative
"There are schools in Ireland that have no Irish pupils but filled with foreigners, many of them can't speak English. Europe has open borders.",negative,positive,negative
wHY CAN'T WOMEN BE ON TIME FOR THINGS?,neutral,neutral,neutral
Class is in session. 🇺🇲💯,neutral,neutral,neutral
This Administration definitely beats the last one! Its literally a daily information dump. I rather be in the know than not knowing anything at all. Total Transparency is all the public asks for.,neutral,neutral,neutral
Let's Siri find their own money. Aint no one should be defunding them.,positive,neutral,positive
Project 2025: Re-evaluating Social Welfare Programs to rid them of deadbeat collectors.,neutral,positive,positive
can't press alt f4 on a phone,neutral,neutral,neutral
HAS ANYONE STAYED AROUND D. C BEFORE ? NO JOKE ALL I SEEN WAS G A Y MEN...,negative,neutral,negative
😀,positive,neutral,positive
☕️,neutral,neutral,neutral
TDS cry cry cry,negative,neutral,negative
@Transparent LOLOLOLOLOLOLOL,neutral,neutral,neutral
"Thank you, President Trump! MAGA!!!",positive,neutral,positive
Trump loves Russia. Biden didn't.,positive,neutral,positive
"BYEE', Suuk'...",neutral,neutral,neutral
ATTENTION TO THOSE WITH NO AUDIO/SOUND ISSUES. Press Alt + F4 then Enter,negative,neutral,negative
Billybob project 25 is a lie not endorsed by Trump try harder pull your head out of the sand,negative,negative,negative
Karoline Leavitt is the G.O.A.T 🇺🇸,neutral,neutral,neutral
Yay for elevator music,positive,neutral,positive
we don't have alt F4,neutral,neutral,neutral
"Trumps Golden Age, not ours!",neutral,positive,positive
I'll be back.,negative,negative,negative
defund npr and amtrak,neutral,neutral,neutral
Audio is muted Until Karoline comes out. There are no audio issues,negative,neutral,negative
Meow 🐱,neutral,neutral,neutral
🎤 🎙 🎤 ✔️ ✅️ 1 2 3,neutral,neutral,neutral
"she's adjusting her leprechaun costume, give her a minute",neutral,neutral,neutral
For sale waste land in Iran,negative,negative,negative
"REAGAN: “Mr. Gorbachev, open this gate! Mr. Gorbachev, tear down this wall!”TRUMP: Putin “genius” and “savvy” for Ukraine invasion. (Feb 23, 2022)",neutral,neutral,neutral
Trump is giving her last minute updates!,positive,neutral,positive
suzie we love to laugh at his next stupud idea.,positive,positive,positive
MAGA 🇺🇸 Republican Party ❤️ MEGA 🇪🇺Patriots Party,positive,neutral,positive
Pam Bondi is in over her head & submitted her request for a 2-week vacation,neutral,neutral,neutral
Islam is NOT compatible with the west! They want to destroy our values and our country!,negative,negative,negative
TRUMP 2028,neutral,neutral,neutral
@Chris Pierson cause we dont wanna,neutral,neutral,neutral
I'm sure the views has value too. said noone,positive,positive,positive
COWARD REPORTERS - DO YOUR JOB!!! HOLD TRUMP ACCOUNTABLE!!!,negative,neutral,negative
"Wow, what a treat.Glad I tuned in.Cant wait to see Coroline slam the Fake News when they act stupid,which is daily",negative,negative,negative
Imagine swearing an oath to defend the constitution,negative,neutral,negative
BAN the fake news!!!,negative,negative,negative
"my you have such a nice big set of .... Ouch! I was just saying SSMack! OK, I won't say it.",positive,positive,positive
"Karoline, release the list!!!",neutral,neutral,neutral
🐸SPEED UP CHAT.. NO NEED OR POINT IN SLOWING CHAT✊️ POST A FROG IF YOU AGREE ✊️🐸,positive,neutral,positive
AMERICASTAN'S people must be hungry for food there realy need food money trump is despirate for the money,neutral,neutral,neutral
Release the Trump / Epstein files .,neutral,neutral,neutral
She's probably changing her sanitary pad.,neutral,neutral,neutral
YARRIX,neutral,neutral,neutral
@Kakarot Jenkins George Washington started tariffs; dont blame Trump! It's nothing new,positive,positive,positive
Has Karoline beeb DOGEd?,neutral,neutral,neutral
Happy St Patrick’s Day 🍀🍀🍀🍀,positive,positive,positive
Are going to see green,neutral,negative,negative
heck with it all. I'll just turn into a lesbian male and let the gas station sort it out.,negative,negative,negative
Vance/Trump 2028! 🇺🇸,neutral,neutral,neutral
MAGA controlled by billionaires,neutral,neutral,neutral
silence is just unappealing,neutral,negative,negative
The world loves MAGA!!!!,positive,neutral,positive
🐸,neutral,neutral,neutral
J D VANCE 2028🇺🇸,neutral,neutral,neutral
PRAYING FOR THIS NATION AND TRUMP AND VICE PRESIDENT,positive,neutral,positive
Karoline is the 👌 best.,positive,positive,positive
ATTENTION TO THOSE WITH NO AUDIO/SOUND ISSUES. Press Alt + F4 then Enter. FOR ANDROID USERS > Hold down the power button on your phone for 30 seconds,negative,neutral,negative
might be slightly radioactive,neutral,negative,negative
prod release faillllllllllllllll,neutral,neutral,neutral
Donald Trump but he's a rapper: Donald Lil' Pump,neutral,neutral,neutral
fashionably late as usual Miss Karoline,negative,negative,negative
Is she down on her knees? Why is she late?,neutral,negative,negative
hello is this ✡️ thing on or what?,neutral,neutral,neutral
you want to know the truth about islam and all the bs going on? here: they dont like USA freedom of speech exposes their corruption in foreign nations. 2. saudi arabia want to whiten their skin more-,negative,negative,negative
@WYR agreed,positive,neutral,positive
libs lighting tesla on fire in a liberal state which is probably driven by a dem in the first place.. thats how smart the left are... let them eat,positive,positive,positive
Project 2025: Prioritizing traditional family stability. ALL IN ON THAT!,neutral,neutral,neutral
"the question is not if we will see green, but how much green we will see",neutral,negative,negative
Let’s watch them defend the judge’s decision and have a problem with sending these murders and gang bangers out of America it’s incredible they are openly arguing this lol,negative,positive,negative
She's late,neutral,negative,negative
Atleast put something else on. Instead of just waiting here for this conference,neutral,neutral,neutral
"promises made, promises kept!! #MAGA #AmericaFirst #MAHA #USA ❤️🤍💙🇺🇲🥳",positive,neutral,positive
I have a turd sandwich for democrats..,neutral,neutral,neutral
late,neutral,negative,negative
The world hates maga!,negative,neutral,negative
JD Vance 2028!,neutral,neutral,neutral
exposed live,negative,positive,negative
TRUMP refuses to call Putin a dictator. ''You called Zelensky a dictator. Would you use the same words for Putin?'' - ''I don't use those words lightly.'' ----- MAKE RUSSIAN FASCISTS GREAT AGAIN!,positive,positive,positive
☘️☘️☘️,neutral,neutral,neutral
Jesus is King!,neutral,neutral,neutral
TUCKER CARLSON 2028,neutral,neutral,neutral
Need to get rid of the liberal supreme justice`s.,positive,neutral,positive
Chris trying to change tradition with women,neutral,neutral,neutral
"Where are the Epstein, JFK, UFO, Martin Luther King, and Bobby Kennedy files?",neutral,neutral,neutral
@Beardedroofer iagree,neutral,neutral,neutral
Lexington Wa USA 🇺🇸 in the House,neutral,neutral,neutral
Get lost trolls 😡,negative,neutral,negative
Pam Bondie is over Your head. short man,neutral,neutral,neutral
Tax cuts to elites,negative,neutral,negative
"People need money, make it rain",neutral,neutral,neutral
Drain the swamp Don!,neutral,neutral,neutral
Go Trump!!,neutral,neutral,neutral
🐸FROGS ARE HEROES 🏅SPEAK BETWEEN FROGS TO BE A PART OF FROG CLUB.. NO REGISTRATION REQUIRED..WE ARE DECENTRALIZED AGAINST THE WOKE LEFT✊🇺🇸🐸,positive,neutral,positive
"@BillyBob He might not agree with all aspects of Project 2025, but he certainly wouldn't condone the wars of the Biden Admin.",positive,positive,positive
Best President 🥰,positive,positive,positive
Karoline's tardiness will not go unchecked. Elon is already counting the wasted dollars on 10 minutes,negative,negative,negative
Trump giving her little mushroom 🍄 😆,positive,negative,negative
"Yeah, some waiting room music would be nice",positive,positive,positive
Why was the autopen used?,neutral,neutral,neutral
thank you dems for helping get trump elected again! we love you for that.,positive,positive,positive
Hope she’s wearin the green ☘️😀,positive,negative,negative
I love puppies,positive,positive,positive
She's getting her groove on. That's why she's late.,neutral,negative,negative
Couch Humpers Anon,neutral,neutral,neutral
I wear my smelt hat in my car 🚗,neutral,neutral,neutral
Donald Trump but life is like a box of Chocolates: Donald Gump,positive,neutral,positive
"Ask not if she will be wearing green, ask how much green she will be wearing",neutral,negative,negative
🇺🇸😭🩸🏛️💰🇮🇱,negative,neutral,negative
auto pen sleepy joe,neutral,neutral,neutral
@pat wilder you should fit right in then.,positive,positive,positive
AMERICASTAN'S people must be hungry for food there realy need food money trump is disparate for the tarriff,neutral,neutral,neutral
EVIL aka DEMS who hate everyone,negative,negative,negative
THE WORLD HATES TRUMP THE WORLD HATES TRUMP THE WORLD HATES TRUMP,negative,neutral,negative
Like you Victoria,positive,neutral,positive
Project 2025: Enhancing National Security. ABOUT TIME!,positive,neutral,positive
what a doozy Peter:face-green-smiling:,neutral,neutral,neutral
We are the party of the people!,positive,neutral,positive
